Date,Nifty500_PE,Nifty500_PB,Earning_Yields_%,3M_Yield_India,2Y_Yield_India,10Y_Yield_India,India_Yield_Spread,10Y-3M_Yield_India,10Y-2Y_Yield_India,3M_Yield_US,2Y_Yield_US,10Y_Yield_US,10Y-3M_Yield_US,10Y-2Y_Yield_US,pct_change
2001-05-11,16.44,1.8,6.46,8.85,8.87,10.03,3.58,1.18,1.17,3.73,4.32,5.44,1.71,1.12,2.6331039003605374
2008-04-16,18.48,4.46,4.7,7.35,7.95,8.07,3.38,0.72,0.13,1.12,1.99,3.71,2.59,1.72,0.184026769366753
2008-08-05,16.47,3.56,5.27,9.2,9.15,8.98,3.71,-0.22,-0.17,1.74,2.56,4.02,2.29,1.46,0.2866921098481705
2002-04-19,14.22,1.67,5.55,6.0,6.22,7.34,1.79,1.34,1.11,1.74,3.33,5.2,3.46,1.87,3.361432542504363
2005-04-05,16.97,3.16,6.8,5.25,5.97,6.73,-0.07,1.48,0.77,2.78,3.73,4.47,1.7,0.74,1.307938986642871
2009-11-26,19.77,3.14,4.49,3.27,5.41,7.16,2.67,3.89,1.76,0.04,0.74,3.27,3.23,2.53,0.5390951993885496
2010-09-17,22.58,3.47,4.03,6.15,7.01,7.98,3.96,1.83,0.97,0.16,0.47,2.74,2.59,2.28,0.46581564646775364
2004-09-30,15.2,2.65,6.85,4.95,5.45,6.24,-0.61,1.29,0.8,1.7,2.59,4.12,2.43,1.53,1.5454606931530006
2013-11-08,17.54,2.38,5.67,8.68,8.58,8.98,3.32,0.3,0.4,0.06,0.31,2.75,2.69,2.44,1.0769483061427456
2008-07-21,15.04,3.35,5.64,8.95,9.27,9.04,3.4,0.09,-0.22,1.42,2.6,4.04,2.62,1.44,0.46572739984193556
2003-04-04,13.38,1.56,7.2,5.4,5.58,5.99,-1.21,0.59,0.41,1.1,1.56,3.96,2.86,2.4,5.307786885245902
2009-04-02,13.9,2.16,6.58,4.55,5.5,6.94,0.36,2.39,1.44,0.21,0.89,2.77,2.55,1.88,0.9246619048599247
